TF_ID	Gene_ID	Family
Cotton_A_02671_BGI-A2_v1.0	Cotton_A_02671	NF-YA
Cotton_A_02703_BGI-A2_v1.0	Cotton_A_02703	TCP
Cotton_A_02718_BGI-A2_v1.0	Cotton_A_02718	NAC
Cotton_A_02765_BGI-A2_v1.0	Cotton_A_02765	Dof
Cotton_A_02794_BGI-A2_v1.0	Cotton_A_02794	bHLH
Cotton_A_02798_BGI-A2_v1.0	Cotton_A_02798	ZF-HD
Cotton_A_02851_BGI-A2_v1.0	Cotton_A_02851	HSF
Cotton_A_02913_BGI-A2_v1.0	Cotton_A_02913	TCP
Cotton_A_02971_BGI-A2_v1.0	Cotton_A_02971	bHLH
Cotton_A_03013_BGI-A2_v1.0	Cotton_A_03013	NAC
Cotton_A_03153_BGI-A2_v1.0	Cotton_A_03153	NF-YA
Cotton_A_03284_BGI-A2_v1.0	Cotton_A_03284	GRAS
Cotton_A_03292_BGI-A2_v1.0	Cotton_A_03292	bZIP
Cotton_A_03298_BGI-A2_v1.0	Cotton_A_03298	bHLH
Cotton_A_03321_BGI-A2_v1.0	Cotton_A_03321	NF-YA
Cotton_A_03326_BGI-A2_v1.0	Cotton_A_03326	WRKY
Cotton_A_03328_BGI-A2_v1.0	Cotton_A_03328	SBP
Cotton_A_03364_BGI-A2_v1.0	Cotton_A_03364	LBD
Cotton_A_03365_BGI-A2_v1.0	Cotton_A_03365	LBD
Cotton_A_03426_BGI-A2_v1.0	Cotton_A_03426	WRKY
Cotton_A_03434_BGI-A2_v1.0	Cotton_A_03434	BES1
Cotton_A_03445_BGI-A2_v1.0	Cotton_A_03445	GRAS
Cotton_A_03457_BGI-A2_v1.0	Cotton_A_03457	bHLH
Cotton_A_03492_BGI-A2_v1.0	Cotton_A_03492	Trihelix
Cotton_A_03518_BGI-A2_v1.0	Cotton_A_03518	YABBY
Cotton_A_03562_BGI-A2_v1.0	Cotton_A_03562	bHLH
Cotton_A_03563_BGI-A2_v1.0	Cotton_A_03563	Trihelix
Cotton_A_03573_BGI-A2_v1.0	Cotton_A_03573	NAC
Cotton_A_03637_BGI-A2_v1.0	Cotton_A_03637	LFY
Cotton_A_03649_BGI-A2_v1.0	Cotton_A_03649	bHLH
Cotton_A_03693_BGI-A2_v1.0	Cotton_A_03693	WRKY
Cotton_A_03694_BGI-A2_v1.0	Cotton_A_03694	GRAS
Cotton_A_03700_BGI-A2_v1.0	Cotton_A_03700	SAP
Cotton_A_03704_BGI-A2_v1.0	Cotton_A_03704	NF-YB
Cotton_A_03791_BGI-A2_v1.0	Cotton_A_03791	bHLH
Cotton_A_03825_BGI-A2_v1.0	Cotton_A_03825	Trihelix
Cotton_A_03878_BGI-A2_v1.0	Cotton_A_03878	Dof
Cotton_A_03896_BGI-A2_v1.0	Cotton_A_03896	HSF
Cotton_A_03906_BGI-A2_v1.0	Cotton_A_03906	bHLH
Cotton_A_03914_BGI-A2_v1.0	Cotton_A_03914	Dof
Cotton_A_03915_BGI-A2_v1.0	Cotton_A_03915	Dof
Cotton_A_03916_BGI-A2_v1.0	Cotton_A_03916	SBP
Cotton_A_03930_BGI-A2_v1.0	Cotton_A_03930	NAC
Cotton_A_03966_BGI-A2_v1.0	Cotton_A_03966	bHLH
Cotton_A_03998_BGI-A2_v1.0	Cotton_A_03998	TCP
Cotton_A_04008_BGI-A2_v1.0	Cotton_A_04008	GRAS
Cotton_A_04044_BGI-A2_v1.0	Cotton_A_04044	WRKY
Cotton_A_04055_BGI-A2_v1.0	Cotton_A_04055	bZIP
Cotton_A_04070_BGI-A2_v1.0	Cotton_A_04070	LBD
Cotton_A_04160_BGI-A2_v1.0	Cotton_A_04160	LBD
Cotton_A_04174_BGI-A2_v1.0	Cotton_A_04174	WRKY
Cotton_A_04183_BGI-A2_v1.0	Cotton_A_04183	LBD
Cotton_A_04262_BGI-A2_v1.0	Cotton_A_04262	GATA
Cotton_A_04284_BGI-A2_v1.0	Cotton_A_04284	EIL
Cotton_A_04290_BGI-A2_v1.0	Cotton_A_04290	GRAS
Cotton_A_04316_BGI-A2_v1.0	Cotton_A_04316	WRKY
Cotton_A_04392_BGI-A2_v1.0	Cotton_A_04392	bHLH
Cotton_A_04401_BGI-A2_v1.0	Cotton_A_04401	NAC
Cotton_A_04403_BGI-A2_v1.0	Cotton_A_04403	Nin-like
Cotton_A_04404_BGI-A2_v1.0	Cotton_A_04404	GRAS
Cotton_A_04405_BGI-A2_v1.0	Cotton_A_04405	GRAS
Cotton_A_04406_BGI-A2_v1.0	Cotton_A_04406	GRAS
Cotton_A_04408_BGI-A2_v1.0	Cotton_A_04408	GRAS
Cotton_A_04412_BGI-A2_v1.0	Cotton_A_04412	GRAS
Cotton_A_04413_BGI-A2_v1.0	Cotton_A_04413	GRAS
Cotton_A_04414_BGI-A2_v1.0	Cotton_A_04414	GRAS
Cotton_A_04420_BGI-A2_v1.0	Cotton_A_04420	bZIP
Cotton_A_04422_BGI-A2_v1.0	Cotton_A_04422	NAC
Cotton_A_04430_BGI-A2_v1.0	Cotton_A_04430	FAR1
Cotton_A_04432_BGI-A2_v1.0	Cotton_A_04432	FAR1
Cotton_A_04445_BGI-A2_v1.0	Cotton_A_04445	bHLH
Cotton_A_04469_BGI-A2_v1.0	Cotton_A_04469	bHLH
Cotton_A_04481_BGI-A2_v1.0	Cotton_A_04481	NAC
Cotton_A_04502_BGI-A2_v1.0	Cotton_A_04502	bZIP
Cotton_A_04505_BGI-A2_v1.0	Cotton_A_04505	WRKY
Cotton_A_04509_BGI-A2_v1.0	Cotton_A_04509	NAC
Cotton_A_04599_BGI-A2_v1.0	Cotton_A_04599	Nin-like
Cotton_A_04612_BGI-A2_v1.0	Cotton_A_04612	NAC
Cotton_A_04625_BGI-A2_v1.0	Cotton_A_04625	NF-YB
Cotton_A_04630_BGI-A2_v1.0	Cotton_A_04630	GRAS
Cotton_A_04667_BGI-A2_v1.0	Cotton_A_04667	WRKY
Cotton_A_04711_BGI-A2_v1.0	Cotton_A_04711	bHLH
Cotton_A_04718_BGI-A2_v1.0	Cotton_A_04718	bHLH
Cotton_A_04813_BGI-A2_v1.0	Cotton_A_04813	WRKY
Cotton_A_04868_BGI-A2_v1.0	Cotton_A_04868	NF-YB
Cotton_A_04914_BGI-A2_v1.0	Cotton_A_04914	Trihelix
Cotton_A_04922_BGI-A2_v1.0	Cotton_A_04922	GRAS
Cotton_A_04939_BGI-A2_v1.0	Cotton_A_04939	NAC
Cotton_A_05099_BGI-A2_v1.0	Cotton_A_05099	NAC
Cotton_A_05104_BGI-A2_v1.0	Cotton_A_05104	FAR1
Cotton_A_05107_BGI-A2_v1.0	Cotton_A_05107	bZIP
Cotton_A_05109_BGI-A2_v1.0	Cotton_A_05109	EIL
Cotton_A_05137_BGI-A2_v1.0	Cotton_A_05137	GATA
Cotton_A_05207_BGI-A2_v1.0	Cotton_A_05207	GATA
Cotton_A_05223_BGI-A2_v1.0	Cotton_A_05223	LBD
Cotton_A_05224_BGI-A2_v1.0	Cotton_A_05224	LBD
Cotton_A_05257_BGI-A2_v1.0	Cotton_A_05257	Trihelix
Cotton_A_05272_BGI-A2_v1.0	Cotton_A_05272	NAC
Cotton_A_05312_BGI-A2_v1.0	Cotton_A_05312	BES1
Cotton_A_05313_BGI-A2_v1.0	Cotton_A_05313	HSF
Cotton_A_05357_BGI-A2_v1.0	Cotton_A_05357	Trihelix
Cotton_A_05427_BGI-A2_v1.0	Cotton_A_05427	Dof
Cotton_A_05507_BGI-A2_v1.0	Cotton_A_05507	Trihelix
Cotton_A_05536_BGI-A2_v1.0	Cotton_A_05536	NF-YB
Cotton_A_05549_BGI-A2_v1.0	Cotton_A_05549	E2F/DP
Cotton_A_05556_BGI-A2_v1.0	Cotton_A_05556	GRAS
Cotton_A_05624_BGI-A2_v1.0	Cotton_A_05624	LBD
Cotton_A_05632_BGI-A2_v1.0	Cotton_A_05632	WRKY
Cotton_A_05643_BGI-A2_v1.0	Cotton_A_05643	Trihelix
Cotton_A_05668_BGI-A2_v1.0	Cotton_A_05668	bHLH
Cotton_A_05707_BGI-A2_v1.0	Cotton_A_05707	NF-YA
Cotton_A_05720_BGI-A2_v1.0	Cotton_A_05720	HSF
Cotton_A_05723_BGI-A2_v1.0	Cotton_A_05723	bHLH
Cotton_A_05732_BGI-A2_v1.0	Cotton_A_05732	HSF
Cotton_A_05740_BGI-A2_v1.0	Cotton_A_05740	NAC
Cotton_A_05820_BGI-A2_v1.0	Cotton_A_05820	Whirly
Cotton_A_05832_BGI-A2_v1.0	Cotton_A_05832	NAC
Cotton_A_05844_BGI-A2_v1.0	Cotton_A_05844	NAC
Cotton_A_05845_BGI-A2_v1.0	Cotton_A_05845	NAC
Cotton_A_05869_BGI-A2_v1.0	Cotton_A_05869	Trihelix
Cotton_A_05880_BGI-A2_v1.0	Cotton_A_05880	bHLH
Cotton_A_05931_BGI-A2_v1.0	Cotton_A_05931	ZF-HD
Cotton_A_05966_BGI-A2_v1.0	Cotton_A_05966	bHLH
Cotton_A_05980_BGI-A2_v1.0	Cotton_A_05980	WRKY
Cotton_A_06006_BGI-A2_v1.0	Cotton_A_06006	LBD
Cotton_A_06019_BGI-A2_v1.0	Cotton_A_06019	bZIP
Cotton_A_06024_BGI-A2_v1.0	Cotton_A_06024	WRKY
Cotton_A_06025_BGI-A2_v1.0	Cotton_A_06025	WRKY
Cotton_A_06049_BGI-A2_v1.0	Cotton_A_06049	NF-YA
Cotton_A_06085_BGI-A2_v1.0	Cotton_A_06085	bZIP
Cotton_A_06086_BGI-A2_v1.0	Cotton_A_06086	NAC
Cotton_A_06141_BGI-A2_v1.0	Cotton_A_06141	bHLH
Cotton_A_06142_BGI-A2_v1.0	Cotton_A_06142	TCP
Cotton_A_06156_BGI-A2_v1.0	Cotton_A_06156	Dof
Cotton_A_06161_BGI-A2_v1.0	Cotton_A_06161	NAC
Cotton_A_06179_BGI-A2_v1.0	Cotton_A_06179	WRKY
Cotton_A_06213_BGI-A2_v1.0	Cotton_A_06213	bHLH
Cotton_A_06221_BGI-A2_v1.0	Cotton_A_06221	bZIP
Cotton_A_06256_BGI-A2_v1.0	Cotton_A_06256	NAC
Cotton_A_06263_BGI-A2_v1.0	Cotton_A_06263	SBP
Cotton_A_06324_BGI-A2_v1.0	Cotton_A_06324	NAC
Cotton_A_06325_BGI-A2_v1.0	Cotton_A_06325	NAC
Cotton_A_06526_BGI-A2_v1.0	Cotton_A_06526	NF-YB
Cotton_A_06569_BGI-A2_v1.0	Cotton_A_06569	GRAS
Cotton_A_06570_BGI-A2_v1.0	Cotton_A_06570	WRKY
Cotton_A_06609_BGI-A2_v1.0	Cotton_A_06609	SBP
Cotton_A_06612_BGI-A2_v1.0	Cotton_A_06612	bHLH
Cotton_A_06685_BGI-A2_v1.0	Cotton_A_06685	NF-YA
Cotton_A_06694_BGI-A2_v1.0	Cotton_A_06694	LBD
Cotton_A_06788_BGI-A2_v1.0	Cotton_A_06788	WRKY
Cotton_A_06793_BGI-A2_v1.0	Cotton_A_06793	NF-YB
Cotton_A_06804_BGI-A2_v1.0	Cotton_A_06804	WRKY
Cotton_A_06807_BGI-A2_v1.0	Cotton_A_06807	GRAS
Cotton_A_06817_BGI-A2_v1.0	Cotton_A_06817	bHLH
Cotton_A_06877_BGI-A2_v1.0	Cotton_A_06877	NAC
Cotton_A_06965_BGI-A2_v1.0	Cotton_A_06965	GRAS
Cotton_A_06966_BGI-A2_v1.0	Cotton_A_06966	GRAS
Cotton_A_06981_BGI-A2_v1.0	Cotton_A_06981	Dof
Cotton_A_07037_BGI-A2_v1.0	Cotton_A_07037	EIL
Cotton_A_07065_BGI-A2_v1.0	Cotton_A_07065	GATA
Cotton_A_07105_BGI-A2_v1.0	Cotton_A_07105	GRAS
Cotton_A_07122_BGI-A2_v1.0	Cotton_A_07122	YABBY
Cotton_A_07124_BGI-A2_v1.0	Cotton_A_07124	NAC
Cotton_A_07168_BGI-A2_v1.0	Cotton_A_07168	GATA
Cotton_A_07250_BGI-A2_v1.0	Cotton_A_07250	WRKY
Cotton_A_07316_BGI-A2_v1.0	Cotton_A_07316	bHLH
Cotton_A_07321_BGI-A2_v1.0	Cotton_A_07321	bHLH
Cotton_A_07392_BGI-A2_v1.0	Cotton_A_07392	HSF
Cotton_A_07409_BGI-A2_v1.0	Cotton_A_07409	bHLH
Cotton_A_07486_BGI-A2_v1.0	Cotton_A_07486	FAR1
Cotton_A_07501_BGI-A2_v1.0	Cotton_A_07501	TCP
Cotton_A_07511_BGI-A2_v1.0	Cotton_A_07511	NAC
Cotton_A_07539_BGI-A2_v1.0	Cotton_A_07539	HSF
Cotton_A_07573_BGI-A2_v1.0	Cotton_A_07573	TCP
Cotton_A_07590_BGI-A2_v1.0	Cotton_A_07590	bHLH
Cotton_A_07701_BGI-A2_v1.0	Cotton_A_07701	SBP
Cotton_A_07705_BGI-A2_v1.0	Cotton_A_07705	bHLH
Cotton_A_07719_BGI-A2_v1.0	Cotton_A_07719	YABBY
Cotton_A_07740_BGI-A2_v1.0	Cotton_A_07740	LBD
Cotton_A_07763_BGI-A2_v1.0	Cotton_A_07763	BES1
Cotton_A_07779_BGI-A2_v1.0	Cotton_A_07779	bZIP
Cotton_A_07788_BGI-A2_v1.0	Cotton_A_07788	bHLH
Cotton_A_07791_BGI-A2_v1.0	Cotton_A_07791	bHLH
Cotton_A_07824_BGI-A2_v1.0	Cotton_A_07824	NAC
Cotton_A_07851_BGI-A2_v1.0	Cotton_A_07851	bZIP
Cotton_A_07854_BGI-A2_v1.0	Cotton_A_07854	bHLH
Cotton_A_07894_BGI-A2_v1.0	Cotton_A_07894	NAC
Cotton_A_07908_BGI-A2_v1.0	Cotton_A_07908	bHLH
Cotton_A_07914_BGI-A2_v1.0	Cotton_A_07914	bHLH
Cotton_A_07921_BGI-A2_v1.0	Cotton_A_07921	HSF
Cotton_A_07948_BGI-A2_v1.0	Cotton_A_07948	BBR-BPC
Cotton_A_08002_BGI-A2_v1.0	Cotton_A_08002	bHLH
Cotton_A_08040_BGI-A2_v1.0	Cotton_A_08040	NF-YC
Cotton_A_08115_BGI-A2_v1.0	Cotton_A_08115	NAC
Cotton_A_08128_BGI-A2_v1.0	Cotton_A_08128	NAC
Cotton_A_08143_BGI-A2_v1.0	Cotton_A_08143	Dof
Cotton_A_08147_BGI-A2_v1.0	Cotton_A_08147	Nin-like
Cotton_A_08195_BGI-A2_v1.0	Cotton_A_08195	HSF
Cotton_A_08234_BGI-A2_v1.0	Cotton_A_08234	bHLH
Cotton_A_08309_BGI-A2_v1.0	Cotton_A_08309	NF-YC
Cotton_A_08350_BGI-A2_v1.0	Cotton_A_08350	CPP
Cotton_A_08370_BGI-A2_v1.0	Cotton_A_08370	bHLH
Cotton_A_08437_BGI-A2_v1.0	Cotton_A_08437	LBD
Cotton_A_08460_BGI-A2_v1.0	Cotton_A_08460	WRKY
Cotton_A_08527_BGI-A2_v1.0	Cotton_A_08527	GRAS
Cotton_A_08538_BGI-A2_v1.0	Cotton_A_08538	NF-YA
Cotton_A_08599_BGI-A2_v1.0	Cotton_A_08599	LBD
Cotton_A_08600_BGI-A2_v1.0	Cotton_A_08600	LBD
Cotton_A_08607_BGI-A2_v1.0	Cotton_A_08607	Trihelix
Cotton_A_08656_BGI-A2_v1.0	Cotton_A_08656	bZIP
Cotton_A_08659_BGI-A2_v1.0	Cotton_A_08659	bHLH
Cotton_A_08661_BGI-A2_v1.0	Cotton_A_08661	HSF
Cotton_A_08669_BGI-A2_v1.0	Cotton_A_08669	bHLH
Cotton_A_08671_BGI-A2_v1.0	Cotton_A_08671	NAC
Cotton_A_08680_BGI-A2_v1.0	Cotton_A_08680	WRKY
Cotton_A_08728_BGI-A2_v1.0	Cotton_A_08728	WRKY
Cotton_A_08761_BGI-A2_v1.0	Cotton_A_08761	SBP
Cotton_A_08801_BGI-A2_v1.0	Cotton_A_08801	GRAS
Cotton_A_08816_BGI-A2_v1.0	Cotton_A_08816	NAC
Cotton_A_08820_BGI-A2_v1.0	Cotton_A_08820	bHLH
Cotton_A_08847_BGI-A2_v1.0	Cotton_A_08847	Trihelix
Cotton_A_08848_BGI-A2_v1.0	Cotton_A_08848	Trihelix
Cotton_A_08893_BGI-A2_v1.0	Cotton_A_08893	bZIP
Cotton_A_08943_BGI-A2_v1.0	Cotton_A_08943	bHLH
Cotton_A_08973_BGI-A2_v1.0	Cotton_A_08973	TCP
Cotton_A_09028_BGI-A2_v1.0	Cotton_A_09028	HSF
Cotton_A_09163_BGI-A2_v1.0	Cotton_A_09163	NAC
Cotton_A_09182_BGI-A2_v1.0	Cotton_A_09182	HSF
Cotton_A_09193_BGI-A2_v1.0	Cotton_A_09193	bHLH
Cotton_A_09199_BGI-A2_v1.0	Cotton_A_09199	LBD
Cotton_A_09215_BGI-A2_v1.0	Cotton_A_09215	bHLH
Cotton_A_09216_BGI-A2_v1.0	Cotton_A_09216	bHLH
Cotton_A_09219_BGI-A2_v1.0	Cotton_A_09219	bHLH
Cotton_A_09220_BGI-A2_v1.0	Cotton_A_09220	TCP
Cotton_A_09236_BGI-A2_v1.0	Cotton_A_09236	HSF
Cotton_A_09279_BGI-A2_v1.0	Cotton_A_09279	ZF-HD
Cotton_A_09305_BGI-A2_v1.0	Cotton_A_09305	bHLH
Cotton_A_09306_BGI-A2_v1.0	Cotton_A_09306	bZIP
Cotton_A_09357_BGI-A2_v1.0	Cotton_A_09357	HSF
Cotton_A_09361_BGI-A2_v1.0	Cotton_A_09361	bHLH
Cotton_A_09366_BGI-A2_v1.0	Cotton_A_09366	GATA
Cotton_A_09393_BGI-A2_v1.0	Cotton_A_09393	NAC
Cotton_A_09442_BGI-A2_v1.0	Cotton_A_09442	bHLH
Cotton_A_09474_BGI-A2_v1.0	Cotton_A_09474	LBD
Cotton_A_09515_BGI-A2_v1.0	Cotton_A_09515	NAC
Cotton_A_09531_BGI-A2_v1.0	Cotton_A_09531	GeBP
Cotton_A_09589_BGI-A2_v1.0	Cotton_A_09589	bZIP
Cotton_A_09599_BGI-A2_v1.0	Cotton_A_09599	NAC
Cotton_A_09611_BGI-A2_v1.0	Cotton_A_09611	E2F/DP
Cotton_A_09623_BGI-A2_v1.0	Cotton_A_09623	WRKY
Cotton_A_09649_BGI-A2_v1.0	Cotton_A_09649	NAC
Cotton_A_09660_BGI-A2_v1.0	Cotton_A_09660	Dof
Cotton_A_09661_BGI-A2_v1.0	Cotton_A_09661	bHLH
Cotton_A_09663_BGI-A2_v1.0	Cotton_A_09663	NF-YB
Cotton_A_09677_BGI-A2_v1.0	Cotton_A_09677	GRAS
Cotton_A_09739_BGI-A2_v1.0	Cotton_A_09739	bZIP
Cotton_A_09772_BGI-A2_v1.0	Cotton_A_09772	GRAS
Cotton_A_09789_BGI-A2_v1.0	Cotton_A_09789	bZIP
Cotton_A_09911_BGI-A2_v1.0	Cotton_A_09911	TCP
Cotton_A_09964_BGI-A2_v1.0	Cotton_A_09964	TCP
Cotton_A_09980_BGI-A2_v1.0	Cotton_A_09980	GRAS
Cotton_A_09986_BGI-A2_v1.0	Cotton_A_09986	HSF
Cotton_A_09997_BGI-A2_v1.0	Cotton_A_09997	NF-YC
Cotton_A_10020_BGI-A2_v1.0	Cotton_A_10020	NAC
Cotton_A_10022_BGI-A2_v1.0	Cotton_A_10022	NAC
Cotton_A_10140_BGI-A2_v1.0	Cotton_A_10140	bHLH
Cotton_A_10145_BGI-A2_v1.0	Cotton_A_10145	LBD
Cotton_A_10152_BGI-A2_v1.0	Cotton_A_10152	LBD
Cotton_A_10170_BGI-A2_v1.0	Cotton_A_10170	NAC
Cotton_A_10225_BGI-A2_v1.0	Cotton_A_10225	WRKY
Cotton_A_10241_BGI-A2_v1.0	Cotton_A_10241	NF-YA
Cotton_A_10345_BGI-A2_v1.0	Cotton_A_10345	bHLH
Cotton_A_10349_BGI-A2_v1.0	Cotton_A_10349	CPP
Cotton_A_10368_BGI-A2_v1.0	Cotton_A_10368	Trihelix
Cotton_A_10378_BGI-A2_v1.0	Cotton_A_10378	bZIP
Cotton_A_10382_BGI-A2_v1.0	Cotton_A_10382	Trihelix
