Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Cotton_A_04914	Trihelix	MP00552	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G47660(Arabidopsis thaliana)
Cotton_A_05039	ERF	MP00026	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Cotton_A_05061	MYB	MP00180	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
Cotton_A_05109	EIL	MP00367	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Cotton_A_05137	GATA	MP00130	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
Cotton_A_05396	HD-ZIP	MP00200	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
Cotton_A_05507	Trihelix	MP00340	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
Cotton_A_05510	MYB_related	MP00630	Gossypium arboreum	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
Cotton_A_05643	Trihelix	MP00651	Gossypium arboreum	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
Cotton_A_05798	AP2	MP00610	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
Cotton_A_05832	NAC	MP00431	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
Cotton_A_05843	MYB	MP00350	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
Cotton_A_05845	NAC	MP00250	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Cotton_A_05980	WRKY	MP00284	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G30590(Arabidopsis thaliana)
Cotton_A_06024	WRKY	MP00304	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
Cotton_A_06025	WRKY	MP00408	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
Cotton_A_06086	NAC	MP00612	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT3G10490(Arabidopsis thaliana)
Cotton_A_06142	TCP	MP00224	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G69690(Arabidopsis thaliana)
Cotton_A_06161	NAC	MP00221	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
Cotton_A_06263	SBP	MP00634	Gossypium arboreum	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Cotton_A_06325	NAC	MP00361	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
Cotton_A_06348	ERF	MP00311	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G44840(Arabidopsis thaliana)
Cotton_A_06570	WRKY	MP00455	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Cotton_A_06640	ERF	MP00411	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
Cotton_A_06804	WRKY	MP00071	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
Cotton_A_06910	G2-like	MP00107	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Cotton_A_07025	AP2	MP00615	Gossypium arboreum	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
Cotton_A_07124	NAC	MP00136	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Cotton_A_07158	ERF	MP00549	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
Cotton_A_07159	ERF	MP00549	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
Cotton_A_07259	ERF	MP00527	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G25390(Arabidopsis thaliana)
Cotton_A_07437	MYB	MP00564	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G56110(Arabidopsis thaliana)
Cotton_A_07539	HSF	MP00575	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Cotton_A_07547	ERF	MP00557	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
Cotton_A_07550	MIKC_MADS	MP00576	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G62165(Arabidopsis thaliana)
Cotton_A_07627	MYB	MP00145	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
Cotton_A_07740	LBD	MP00313	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G45410(Arabidopsis thaliana)
Cotton_A_07779	bZIP	MP00491	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
Cotton_A_07818	C2H2	MP00306	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
Cotton_A_07851	bZIP	MP00239	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
Cotton_A_07908	bHLH	MP00084	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
Cotton_A_07929	G2-like	MP00174	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G32240(Arabidopsis thaliana)
Cotton_A_08115	NAC	MP00398	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G49530(Arabidopsis thaliana)
Cotton_A_08350	CPP	MP00624	Gossypium arboreum	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Cotton_A_08460	WRKY	MP00209	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
Cotton_A_08496	MYB_related	MP00052	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G15720(Arabidopsis thaliana)
Cotton_A_08555	ERF	MP00204	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
Cotton_A_08656	bZIP	MP00186	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
Cotton_A_08661	HSF	MP00187	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Cotton_A_08680	WRKY	MP00450	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
Cotton_A_08799	C2H2	MP00196	Gossypium arboreum	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Cotton_A_08893	bZIP	MP00470	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G34590(Arabidopsis thaliana)
Cotton_A_08973	TCP	MP00524	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
Cotton_A_09189	MYB_related	MP00631	Gossypium arboreum	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
Cotton_A_09284	G2-like	MP00532	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G29000(Arabidopsis thaliana)
Cotton_A_09301	MYB	MP00028	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Cotton_A_09306	bZIP	MP00040	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Cotton_A_09474	LBD	MP00128	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Cotton_A_09671	C2H2	MP00608	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
Cotton_A_09739	bZIP	MP00291	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
Cotton_A_09911	TCP	MP00215	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
Cotton_A_09977	ERF	MP00558	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
Cotton_A_09986	HSF	MP00432	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G11660(Arabidopsis thaliana)
Cotton_A_10142	ERF	MP00674	Gossypium arboreum	SELEX	PlantTFDB	transfer from GRMZM2G093595(Zea mays)
Cotton_A_10225	WRKY	MP00171	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G30650(Arabidopsis thaliana)
Cotton_A_10271	G2-like	MP00354	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G13040(Arabidopsis thaliana)
Cotton_A_10349	CPP	MP00045	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
Cotton_A_10378	bZIP	MP00184	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Cotton_A_10788	G2-like	MP00193	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G49560(Arabidopsis thaliana)
Cotton_A_10847	MIKC_MADS	MP00410	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
Cotton_A_10849	MIKC_MADS	MP00410	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
Cotton_A_10947	TCP	MP00667	Gossypium arboreum	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
Cotton_A_10950	MIKC_MADS	MP00076	Gossypium arboreum	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Cotton_A_10951	MIKC_MADS	MP00315	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Cotton_A_11128	G2-like	MP00261	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
Cotton_A_11191	HD-ZIP	MP00271	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G22430(Arabidopsis thaliana)
Cotton_A_11311	ARF	MP00021	Gossypium arboreum	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
Cotton_A_11313	NAC	MP00165	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G28470(Arabidopsis thaliana)
Cotton_A_11338	B3	MP00032	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G28300(Arabidopsis thaliana)
Cotton_A_11370	WOX	MP00265	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Cotton_A_11407	MYB	MP00513	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
Cotton_A_11582	MYB	MP00510	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G14340(Arabidopsis thaliana)
Cotton_A_11863	ERF	MP00151	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Cotton_A_11922	M-type_MADS	MP00553	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Cotton_A_12042	MYB	MP00482	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
Cotton_A_12242	MYB	MP00213	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
Cotton_A_12302	FAR1	MP00434	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G15090(Arabidopsis thaliana)
Cotton_A_12365	WRKY	MP00440	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Cotton_A_12399	WRKY	MP00167	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
Cotton_A_12607	NAC	MP00212	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
Cotton_A_12652	Nin-like	MP00154	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Cotton_A_12693	SBP	MP00155	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
Cotton_A_12729	Trihelix	MP00243	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G76880(Arabidopsis thaliana)
Cotton_A_12946	C3H	MP00566	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
Cotton_A_12989	MYB	MP00336	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
Cotton_A_13074	NAC	MP00363	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G17730(Arabidopsis thaliana)
Cotton_A_13082	Dof	MP00580	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
Cotton_A_13405	Dof	MP00394	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
Cotton_A_13554	MYB	MP00347	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G11280(Arabidopsis thaliana)
Cotton_A_13575	BES1	MP00543	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
Cotton_A_13625	MYB_related	MP00573	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G61620(Arabidopsis thaliana)
Cotton_A_13729	BES1	MP00237	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
Cotton_A_14073	WRKY	MP00115	Gossypium arboreum	ampDAP	PlantTFDB	transfer from AT4G01720(Arabidopsis thaliana)
Cotton_A_14077	MYB	MP00134	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Cotton_A_14104	MIKC_MADS	MP00605	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
Cotton_A_14161	BES1	MP00248	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Cotton_A_14292	LBD	MP00211	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
Cotton_A_14392	WRKY	MP00112	Gossypium arboreum	ampDAP	PlantTFDB	transfer from AT2G46400(Arabidopsis thaliana)
Cotton_A_14405	bHLH	MP00100	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Cotton_A_14653	ZF-HD	MP00268	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
Cotton_A_14671	bZIP	MP00267	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G18160(Arabidopsis thaliana)
Cotton_A_14689	SRS	MP00613	Gossypium arboreum	PBM	PlantTFDB	transfer from AT3G51060(Arabidopsis thaliana)
Cotton_A_14739	bHLH	MP00082	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT3G59060(Arabidopsis thaliana)
Cotton_A_14790	bHLH	MP00081	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Cotton_A_14847	C2H2	MP00162	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
Cotton_A_14881	ERF	MP00188	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G46768(Arabidopsis thaliana)
Cotton_A_14977	Trihelix	MP00011	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Cotton_A_15020	G2-like	MP00331	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
Cotton_A_15267	MYB	MP00479	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G38620(Arabidopsis thaliana)
Cotton_A_15348	bHLH	MP00308	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Cotton_A_15465	Dof	MP00046	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
Cotton_A_15646	NAC	MP00321	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
Cotton_A_15659	MYB_related	MP00654	Gossypium arboreum	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
Cotton_A_15677	SBP	MP00633	Gossypium arboreum	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Cotton_A_16110	ERF	MP00156	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Cotton_A_16168	HD-ZIP	MP00323	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
Cotton_A_16296	NAC	MP00121	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Cotton_A_16456	Trihelix	MP00004	Gossypium arboreum	PBM	PlantTFDB	transfer from 920224(Arabidopsis lyrata)
Cotton_A_16773	NAC	MP00562	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Cotton_A_16993	HSF	MP00371	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
Cotton_A_17002	Dof	MP00402	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
Cotton_A_17214	GATA	MP00198	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G51600(Arabidopsis thaliana)
Cotton_A_17319	LBD	MP00581	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Cotton_A_17354	MIKC_MADS	MP00080	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
Cotton_A_17473	Dof	MP00199	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
Cotton_A_17537	Trihelix	MP00413	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
Cotton_A_17542	Dof	MP00166	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
Cotton_A_17750	ERF	MP00456	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
Cotton_A_17778	WRKY	MP00561	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G52830(Arabidopsis thaliana)
Cotton_A_18062	MYB_related	MP00565	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
Cotton_A_18089	NAC	MP00460	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
Cotton_A_18123	NAC	MP00518	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
Cotton_A_18125	NAC	MP00333	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G04070(Arabidopsis thaliana)
Cotton_A_18379	MYB_related	MP00551	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Cotton_A_18381	ERF	MP00292	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G35700(Arabidopsis thaliana)
Cotton_A_18442	bZIP	MP00247	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
Cotton_A_18749	MIKC_MADS	MP00077	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Cotton_A_18752	ERF	MP00240	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Cotton_A_18922	C2H2	MP00206	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
Cotton_A_19198	ERF	MP00526	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Cotton_A_19208	WRKY	MP00465	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G31800(Arabidopsis thaliana)
Cotton_A_19301	bHLH	MP00207	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
Cotton_A_19852	MYB	MP00386	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
Cotton_A_19860	ARR-B	MP00054	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Cotton_A_19871	MYB	MP00598	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G49330(Arabidopsis thaliana)
Cotton_A_19889	ERF	MP00109	Gossypium arboreum	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
Cotton_A_20172	bZIP	MP00117	Gossypium arboreum	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Cotton_A_20229	C2H2	MP00256	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
Cotton_A_20334	C2H2	MP00264	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G15740(Arabidopsis thaliana)
Cotton_A_20475	GATA	MP00530	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Cotton_A_20511	bZIP	MP00349	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Cotton_A_20678	WRKY	MP00275	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G23320(Arabidopsis thaliana)
